Instruction_KeyP.keys,Instruction_KeyP.rt,Instruction2_KeyP.keys,Instruction2_KeyP.rt,Choice1.keys,Choice1.rt,Ex_Step1.thisRepN,Ex_Step1.thisTrialN,Ex_Step1.thisN,Ex_Step1.thisIndex,Ex_Step1.ran,email,date,expName,psychopyVersion,OS,frameRate,InstrStep2KResp.keys,InstrStep2KResp.rt,Choice2Entr.keys,Choice2Entr.rt,Step2Training.thisRepN,Step2Training.thisTrialN,Step2Training.thisN,Step2Training.thisIndex,Step2Training.ran,Ntrial,PChoice21,PChoice22,WallPaperColor,InstrTotKR.keys,InstrTotKR.rt,Transition,Choice2.keys,Choice2.rt,Reward,TrainingTot.thisRepN,TrainingTot.thisTrialN,TrainingTot.thisN,TrainingTot.thisIndex,TrainingTot.ran,Walk21,Walk22,Walk23,PChoice23,Walk24,PChoice24,Question.thisRepN,Question.thisTrialN,Question.thisN,Question.thisIndex,Question.ran,RepriseTacheKR.keys,RepriseTacheKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,LoopVideoG.thisRepN,LoopVideoG.thisTrialN,LoopVideoG.thisN,LoopVideoG.thisIndex,LoopVideoG.ran,Video
,,,,e,1.646395,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,2,0.5,0.45,,space,25.87089,1,i,0.28357,1,0,0,0,1,1,0,-0.04,0,0.52,-0.05,0.46,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0.250975,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,3,0.52,0.44,,,,1,i,0.217555,0,0,1,1,2,1,0.02,-0.01,-0.05,0.47,-0.04,0.42,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0.13436,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,10,0.52,0.55,,,,1,i,0.30048,0,0,2,2,9,1,0.07,0.01,-0.01,0.47,-0.01,0.26,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0.05001,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,7,0.49,0.55,,,,1,i,0.03397,0,0,3,3,6,1,0,0.04,0.03,0.48,-0.02,0.3,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0.084535,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,8,0.51,0.52,,,,1,i,0.01748,0,0,4,4,7,1,0.02,-0.03,-0.01,0.47,-0.03,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,e,0.08465,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,1,0.5,0.49,,,,1,e,0.00112,1,0,5,5,0,1,0,-0.01,0.02,0.52,0.01,0.51,,,,,,,,,,,,,,,,,,,,,,
,,,,e,0.008575,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,6,0.49,0.51,,,,0,e,0.00106,0,0,6,6,5,1,-0.03,0.03,0.02,0.45,-0.04,0.32,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0.084215,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,5,0.52,0.48,,,,1,e,0.08605,0,0,7,7,4,1,-0.03,0.06,-0.04,0.43,-0.03,0.36,,,,,,,,,,,,,,,,,,,,,,
,,,,e,0.09359,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,4,0.55,0.42,,,,1,i,0.039805,0,0,8,8,3,1,0.03,-0.02,0,0.47,-0.03,0.39,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0.02012,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,9,0.45,0.54,,,,0,i,0.00105,1,0,9,9,8,1,-0.06,0.02,0.01,0.48,0,0.27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.55389,1,0,2.00721,1,0,0.16097,1,0,0.1509,0,0,0,4,1,VG5.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,VG2.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,VG3.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,9,1,VG10.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,1,VG9.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,1,VG4.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,1,VG8.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,1,VG1.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,1,VG7.mp4
,,,,,,,,,,,test 3,2021-02-19_14h28.14.767,InstructionMarkovVideoG,2020.2.6,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,5,1,VG6.mp4
