Instruction_KeyP.keys,Instruction_KeyP.rt,Instruction2_KeyP.keys,Instruction2_KeyP.rt,Choice1.keys,Choice1.rt,Ex_Step1.thisRepN,Ex_Step1.thisTrialN,Ex_Step1.thisN,Ex_Step1.thisIndex,Ex_Step1.ran,email,date,expName,psychopyVersion,OS,frameRate,InstrStep2KResp.keys,InstrStep2KResp.rt,Choice2Entr.keys,Choice2Entr.rt,Step2Training.thisRepN,Step2Training.thisTrialN,Step2Training.thisN,Step2Training.thisIndex,Step2Training.ran,Ntrial,PChoice21,PChoice22,WallPaperColor,InstrTotKR.keys,InstrTotKR.rt,Transition,Choice2.keys,Choice2.rt,Reward,TrainingTot.thisRepN,TrainingTot.thisTrialN,TrainingTot.thisN,TrainingTot.thisIndex,TrainingTot.ran,Walk21,Walk22,Walk23,PChoice23,Walk24,PChoice24,Question.thisRepN,Question.thisTrialN,Question.thisN,Question.thisIndex,Question.ran,RepriseTacheKR.keys,RepriseTacheKR.rt,CravingKR.keys,CravingKR.corr,CravingKR.rt,ResistKR.keys,ResistKR.corr,ResistKR.rt,StressKR.keys,StressKR.corr,StressKR.rt,LoopVideoG.thisRepN,LoopVideoG.thisTrialN,LoopVideoG.thisN,LoopVideoG.thisIndex,LoopVideoG.ran,Video,VraieTacheKR.keys,VraieTacheKR.rt,Task1.thisRepN,Task1.thisTrialN,Task1.thisN,Task1.thisIndex,Task1.ran,FinTache1KR.keys,FinTache1KR.rt,FinSession1KR.keys,FinSession1KR.rt
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,i,2.24304,0,7,7,7,1,8,0.2,0.8,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,i,0.794535,0,8,8,8,1,9,0.8,0.2,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,i,0.70334,0,9,9,9,1,10,0.8,0.8,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1.137595,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,3,0.52,0.44,,space,30.444075,0,e,3.50312,1,0,0,0,2,1,0.02,-0.01,-0.05,0.47,-0.04,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,2.710865,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,1,0.5,0.49,,,,1,i,2.28323,0,0,1,1,0,1,0,-0.01,0.02,0.52,0.01,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,3.87233,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,2,0.5,0.45,,,,1,e,3.20551,1,0,2,2,1,1,0,-0.04,0,0.52,-0.05,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1.512045,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,6,0.49,0.51,,,,1,e,0.849975,0,0,3,3,5,1,-0.03,0.03,0.02,0.45,-0.04,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,3.20821,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,8,0.51,0.52,,,,1,i,0.664575,0,0,4,4,7,1,0.02,-0.03,-0.01,0.47,-0.03,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,0.727155,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,9,0.45,0.54,,,,1,i,0.53946,0,0,5,5,8,1,-0.06,0.02,0.01,0.48,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0.467795,,,,,,thollard,2021-03-26_18h35.02.287,InstructionMarkovVideoG,2020.2.6,MacIntel,60,,,,,,,,,,4,0.55,0.42,,,,0,e,0.1705,1,0,6,6,3,1,0.03,-0.02,0,0.47,-0.03,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
